+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@juanita          | 10.050 | 10.050 | 10.050  | 10.050 | 10.050 | 10.050 | 10.050 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@heidi            | 10.047 | 10.047 | 10.047  | 10.047 | 10.047 | 10.047 | 10.047 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@essie            | 10.057 | 10.057 | 10.057  | 10.057 | 10.057 | 10.057 | 10.057 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@kristina         | 0.374  | 0.374  | 0.374   | 0.374  | 0.374  | 0.374  | 0.374  | 0.000  | 15061.000   | 15061.000   | 15061.000   | 15061.000   |
| 1     | 0   | 0   | 1   | 0   | 0   | POST   | /comment           | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 0.005  | 0.005  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/8945        | 0.047  | 0.047  | 0.047   | 0.047  | 0.047  | 0.047  | 0.047  | 0.000  | 4442.000    | 4442.000    | 4442.000    | 4442.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/3630.jpg    | 0.095  | 0.095  | 0.095   | 0.095  | 0.095  | 0.095  | 0.095  | 0.000  | 101467.000  | 101467.000  | 101467.000  | 101467.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/10045       | 0.048  | 0.048  | 0.048   | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 1780.000    | 1780.000    | 1780.000    | 1780.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /initialize        | 0.035  | 0.035  | 0.035   | 0.035  | 0.035  | 0.035  | 0.035  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@lynn             | 10.055 | 10.055 | 10.055  | 10.055 | 10.055 | 10.055 | 10.055 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /admin/banned      | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@ginger           | 10.059 | 10.059 | 10.059  | 10.059 | 10.059 | 10.059 | 10.059 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/7528.jpg    | 0.384  | 0.384  | 0.384   | 0.384  | 0.384  | 0.384  | 0.384  | 0.000  | 134226.000  | 134226.000  | 134226.000  | 134226.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@janell           | 10.053 | 10.053 | 10.053  | 10.053 | 10.053 | 10.053 | 10.053 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@veronica         | 10.063 | 10.063 | 10.063  | 10.063 | 10.063 | 10.063 | 10.063 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@kay              | 6.790  | 6.790  | 6.790   | 6.790  | 6.790  | 6.790  | 6.790  | 0.000  | 7857.000    | 7857.000    | 7857.000    | 7857.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/9887        | 2.187  | 2.187  | 2.187   | 2.187  | 2.187  | 2.187  | 2.187  | 0.000  | 4055.000    | 4055.000    | 4055.000    | 4055.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/9032        | 0.987  | 0.987  | 0.987   | 0.987  | 0.987  | 0.987  | 0.987  | 0.000  | 4308.000    | 4308.000    | 4308.000    | 4308.000    |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@zelma            | 10.050 | 10.050 | 10.050  | 10.050 | 10.050 | 10.050 | 10.050 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /posts/9610        | 0.890  | 0.890  | 0.890   | 0.890  | 0.890  | 0.890  | 0.890  | 0.000  | 3839.000    | 3839.000    | 3839.000    | 3839.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/1412.jpg    | 0.074  | 0.074  | 0.074   | 0.074  | 0.074  | 0.074  | 0.074  | 0.000  | 147459.000  | 147459.000  | 147459.000  | 147459.000  |
